asrtname,failcount,mutantcnt,mutant
28,5586,13,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 6, 9]"
908,9234,13,"[11, 5, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
907,5843,13,"[11, 5, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
859,4507,13,"[11, 5, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
969,9007,13,"[11, 5, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
1497,9284,13,"[10, 5, 51, 52, 54, 55, 57, 58, 59, 6, 60, 63, 66]"
87,7460,13,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 6, 9]"
88,7038,13,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 6, 9]"
851,7326,13,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 5, 6, 7, 8]"
18,3441,13,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 6, 9]"
822,9089,13,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 5, 6, 7, 8]"
846,13449,13,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 5, 6, 7, 8]"
909,9039,13,"[11, 5, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
782,8804,13,"[12, 13, 14, 16, 17, 20, 21, 22, 25, 5, 6, 7, 8]"
1521,3439,13,"[10, 5, 51, 52, 54, 55, 57, 58, 59, 6, 60, 63, 66]"
837,17766,13,"[12, 13, 14, 16, 17, 20, 21, 22, 25, 5, 6, 7, 8]"
823,4490,13,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 5, 6, 7, 8]"
921,8613,13,"[11, 5, 6, 70, 71, 73, 74, 76, 77, 78, 79, 82, 85]"
1458,1878,12,"[10, 51, 52, 54, 55, 57, 58, 59, 6, 60, 63, 66]"
1449,11958,12,"[10, 5, 51, 52, 54, 55, 57, 58, 59, 60, 63, 66]"
555,1112,12,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 6, 7, 8]"
20,2206,12,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 6, 9]"
831,2203,12,"[11, 13, 14, 16, 17, 19, 21, 23, 27, 6, 7, 8]"
321,11284,12,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 5, 9]"
315,2644,12,"[32, 33, 35, 36, 38, 39, 40, 41, 44, 47, 6, 9]"
229,1582,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
1149,8211,11,"[11, 5, 6, 70, 71, 73, 76, 77, 78, 81, 87]"
1152,8211,11,"[11, 5, 6, 70, 71, 73, 76, 77, 78, 81, 87]"
1265,2697,11,"[10, 5, 51, 52, 54, 55, 57, 59, 6, 61, 65]"
1155,3626,11,"[11, 5, 6, 70, 71, 73, 76, 77, 78, 81, 87]"
1255,4147,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
834,2840,11,"[12, 14, 16, 17, 20, 21, 25, 5, 6, 7, 8]"
1537,3771,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
379,5074,11,"[32, 33, 35, 36, 38, 40, 42, 46, 5, 6, 9]"
349,4515,11,"[32, 33, 36, 38, 39, 40, 41, 47, 5, 6, 9]"
979,3480,11,"[11, 5, 6, 70, 71, 74, 76, 77, 78, 79, 85]"
1239,8899,11,"[10, 5, 51, 52, 55, 57, 58, 59, 6, 60, 66]"
97,4696,11,"[32, 33, 35, 36, 38, 40, 42, 46, 5, 6, 9]"
1174,4347,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
419,7047,11,"[1, 12, 4, 5, 6, 7, 89, 90, 91, 92, 95]"
1232,3035,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
919,4368,11,"[11, 5, 6, 70, 71, 73, 74, 76, 78, 80, 84]"
872,875,11,"[11, 5, 6, 70, 71, 73, 76, 77, 78, 81, 87]"
946,2003,11,"[11, 5, 6, 70, 71, 73, 74, 76, 78, 80, 84]"
1211,4275,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
202,2873,11,"[32, 33, 35, 38, 39, 40, 43, 49, 5, 6, 9]"
259,1740,11,"[32, 33, 35, 36, 38, 40, 42, 46, 5, 6, 9]"
460,3554,11,"[1, 12, 4, 5, 6, 7, 89, 90, 91, 92, 95]"
463,1967,11,"[12, 2, 3, 5, 6, 7, 89, 90, 91, 93, 94]"
1535,8422,11,"[10, 5, 51, 52, 54, 57, 58, 59, 6, 62, 68]"
