mutant,failcount,asrtname
58,18415,"[1165, 1166, 1169, 1174, 1203, 1204, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1271, 1275, 1449, 1452, 1458, 1463, 1478, 1481, 1482, 1486, 1487, 1497, 1500, 1501, 1503, 1504, 1506, 1521, 1535, 1537]"
33,17801,"[1, 3, 12, 16, 18, 20, 28, 41, 50, 58, 71, 87, 88, 89, 91, 92, 96, 97, 98, 99, 106, 123, 145, 146, 148, 152, 155, 163, 187, 202, 229, 259, 315, 317, 321, 326, 349, 358, 366, 377, 379]"
55,16987,"[1165, 1166, 1169, 1203, 1204, 1216, 1217, 1218, 1239, 1243, 1265, 1271, 1275, 1449, 1458, 1478, 1481, 1482, 1486, 1487, 1491, 1497, 1500, 1501, 1503, 1506, 1521]"
77,16630,"[859, 872, 902, 907, 908, 909, 921, 965, 969, 979, 1006, 1091, 1093, 1095, 1096, 1099, 1113, 1125, 1128, 1132, 1134, 1136, 1145, 1149, 1152, 1155]"
74,16171,"[859, 902, 907, 908, 909, 919, 921, 946, 969, 979, 998, 1006, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1132, 1134, 1136, 1145]"
71,15962,"[859, 872, 907, 908, 909, 919, 921, 946, 965, 969, 979, 998, 1006, 1018, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1134, 1136, 1145, 1149, 1152, 1155, 1157]"
39,11679,"[1, 3, 14, 18, 20, 28, 71, 87, 88, 96, 98, 99, 106, 123, 145, 152, 155, 187, 202, 229, 315, 317, 321, 326, 349, 358, 366, 377]"
36,11575,"[1, 14, 18, 20, 28, 87, 88, 91, 97, 145, 148, 152, 163, 187, 259, 315, 317, 321, 326, 349, 358, 366, 377, 379]"
51,10490,"[1165, 1166, 1169, 1174, 1203, 1204, 1205, 1209, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1265, 1271, 1275, 1448, 1449, 1450, 1452, 1458, 1463, 1478, 1481, 1482, 1486, 1491, 1492, 1497, 1500, 1501, 1503, 1504, 1521, 1535, 1537, 1538]"
76,9418,"[859, 872, 902, 907, 908, 909, 919, 921, 946, 965, 969, 979, 998, 1091, 1093, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1132, 1134, 1136, 1145, 1149, 1152, 1155]"
17,9331,"[494, 498, 509, 513, 521, 534, 553, 555, 563, 564, 604, 614, 625, 632, 666, 779, 782, 793, 822, 823, 826, 831, 834, 837, 846, 851]"
20,9101,"[494, 498, 502, 509, 513, 521, 526, 542, 558, 562, 595, 604, 614, 618, 632, 636, 666, 726, 779, 780, 781, 782, 793, 806, 817, 824, 834, 837]"
13,8935,"[494, 498, 502, 509, 513, 519, 521, 526, 531, 534, 542, 553, 555, 558, 562, 563, 564, 595, 601, 604, 610, 611, 614, 615, 618, 624, 625, 626, 627, 632, 636, 666, 726, 780, 781, 782, 786, 793, 806, 817, 822, 823, 824, 826, 831, 837, 846, 851]"
54,8681,"[1165, 1166, 1169, 1174, 1203, 1204, 1211, 1216, 1217, 1218, 1232, 1243, 1255, 1265, 1271, 1275, 1449, 1452, 1458, 1463, 1478, 1481, 1482, 1486, 1491, 1497, 1503, 1504, 1506, 1521, 1535, 1537]"
57,8396,"[1165, 1166, 1169, 1174, 1203, 1204, 1211, 1216, 1217, 1218, 1232, 1239, 1243, 1255, 1265, 1271, 1275, 1449, 1452, 1458, 1463, 1478, 1481, 1482, 1486, 1487, 1491, 1497, 1500, 1501, 1503, 1504, 1521, 1535, 1537]"
60,8288,"[1165, 1166, 1169, 1203, 1204, 1205, 1209, 1216, 1217, 1218, 1239, 1243, 1271, 1275, 1448, 1449, 1450, 1458, 1478, 1481, 1482, 1486, 1492, 1497, 1500, 1501, 1503, 1521, 1538]"
16,7888,"[494, 498, 502, 509, 513, 521, 526, 534, 542, 553, 555, 558, 562, 563, 564, 595, 604, 614, 618, 625, 636, 666, 726, 779, 780, 781, 782, 793, 806, 817, 822, 823, 824, 826, 831, 834, 837, 846, 851]"
32,7854,"[1, 3, 12, 16, 18, 20, 28, 41, 50, 58, 71, 87, 88, 89, 91, 92, 96, 97, 98, 99, 106, 123, 145, 148, 152, 155, 163, 187, 202, 229, 259, 315, 317, 321, 326, 349, 358, 366, 377, 379]"
85,7591,"[859, 902, 907, 908, 909, 921, 969, 979, 1091, 1093, 1096, 1099, 1113, 1125, 1128, 1132, 1134, 1136, 1145]"
70,7528,"[859, 872, 907, 908, 909, 919, 921, 946, 965, 969, 979, 998, 1018, 1091, 1093, 1095, 1096, 1099, 1113, 1122, 1124, 1125, 1128, 1134, 1145, 1149, 1152, 1155, 1157]"
38,6730,"[1, 3, 14, 18, 20, 28, 71, 87, 88, 91, 96, 97, 98, 99, 106, 123, 145, 148, 152, 155, 163, 187, 202, 229, 259, 315, 317, 321, 326, 349, 358, 366, 377, 379]"
63,6479,"[1165, 1166, 1169, 1203, 1204, 1216, 1217, 1218, 1243, 1271, 1275, 1449, 1458, 1478, 1481, 1482, 1486, 1497, 1503, 1506, 1521]"
73,6242,"[859, 872, 907, 908, 909, 919, 921, 946, 965, 969, 998, 1006, 1091, 1093, 1095, 1096, 1113, 1122, 1124, 1125, 1128, 1134, 1136, 1145, 1149, 1152, 1155]"
35,6214,"[1, 3, 18, 20, 28, 71, 87, 88, 91, 96, 97, 98, 99, 106, 123, 148, 152, 155, 163, 187, 202, 229, 259, 315, 317, 321, 326, 358, 377, 379]"
66,6194,"[1165, 1166, 1169, 1203, 1204, 1216, 1217, 1218, 1239, 1243, 1271, 1275, 1449, 1458, 1478, 1481, 1482, 1486, 1487, 1497, 1500, 1501, 1503, 1521]"
19,5996,"[494, 498, 502, 509, 513, 521, 526, 534, 542, 553, 555, 558, 562, 563, 564, 595, 604, 614, 618, 625, 632, 636, 666, 726, 780, 781, 793, 806, 817, 822, 823, 824, 826, 831, 846, 851]"
79,5701,"[859, 907, 908, 909, 921, 969, 979, 1018, 1091, 1093, 1095, 1096, 1099, 1113, 1125, 1128, 1134, 1145, 1157]"
41,5174,"[1, 12, 16, 18, 20, 28, 41, 50, 58, 87, 88, 89, 92, 145, 152, 187, 315, 317, 321, 326, 349, 358, 366, 377]"
22,4519,"[494, 498, 509, 513, 519, 521, 531, 601, 604, 610, 611, 614, 615, 624, 626, 627, 632, 666, 782, 786, 793, 837]"
82,4415,"[859, 907, 908, 909, 921, 969, 1006, 1091, 1093, 1095, 1096, 1113, 1125, 1128, 1134, 1136, 1145]"
