asrtname,failcount,mutantcnt,mutant
20,6,5,"[19, 2, 20, 21, 52]"
88,5,5,"[2, 23, 24, 25, 34]"
89,16,5,"[12, 14, 2, 20, 3]"
58,25,5,"[16, 19, 20, 21, 79]"
90,23,5,"[19, 2, 20, 21, 42]"
50,10,5,"[2, 38, 45, 65, 70]"
37,7,5,"[19, 2, 20, 21, 62]"
33,9,5,"[16, 19, 20, 21, 62]"
31,9,5,"[2, 37, 60, 82, 83]"
24,8,5,"[13, 19, 20, 21, 52]"
18,14,5,"[16, 19, 20, 21, 52]"
120,6,5,"[10, 19, 2, 20, 21]"
121,9,5,"[2, 46, 55, 60, 62]"
9,15,5,"[16, 19, 2, 20, 21]"
125,9,5,"[18, 23, 24, 25, 62]"
8,10,5,"[16, 19, 2, 20, 21]"
6,15,5,"[16, 19, 2, 20, 21]"
59,9,5,"[16, 19, 20, 21, 79]"
240,10,4,"[16, 19, 20, 21]"
2,4,4,"[10, 27, 50, 51]"
252,4,4,"[39, 40, 50, 76]"
400,6,4,"[2, 38, 45, 60]"
246,5,4,"[16, 2, 50, 52]"
132,9,4,"[2, 20, 3, 83]"
153,15,4,"[14, 20, 21, 42]"
78,17,4,"[10, 2, 40, 70]"
80,22,4,"[2, 37, 38, 60]"
104,7,4,"[19, 20, 3, 52]"
607,777,3,"[27, 35, 36]"
138,3,3,"[23, 24, 25]"
273,3,3,"[19, 21, 72]"
108,3,3,"[20, 21, 50]"
10,6,3,"[19, 20, 21]"
391,3,3,"[2, 37, 70]"
390,3,3,"[2, 39, 70]"
14,4,3,"[2, 37, 50]"
548,67,3,"[35, 42, 43]"
544,80,3,"[35, 42, 43]"
109,6,3,"[23, 24, 25]"
347,5,3,"[2, 38, 45]"
487,1626,3,"[27, 35, 36]"
490,86,3,"[27, 50, 51]"
272,3,3,"[12, 13, 22]"
395,6,3,"[37, 70, 82]"
3,3,3,"[2, 42, 82]"
606,343,3,"[27, 35, 36]"
7,3,3,"[19, 20, 21]"
611,56,3,"[27, 35, 36]"
608,289,3,"[27, 35, 36]"
70,3,3,"[2, 55, 56]"
610,77,3,"[27, 35, 36]"
609,152,3,"[27, 35, 36]"
467,54,2,"[50, 51]"
460,103,2,"[34, 79]"
119,4,2,"[20, 3]"
594,14,2,"[35, 36]"
73,5,2,"[2, 70]"
466,60,2,"[42, 43]"
266,2,2,"[21, 72]"
468,50,2,"[60, 61]"
489,150,2,"[42, 43]"
491,45,2,"[60, 61]"
355,2,2,"[39, 55]"
499,86,2,"[50, 51]"
498,50,2,"[42, 43]"
496,50,2,"[60, 61]"
76,14,2,"[2, 70]"
495,54,2,"[50, 51]"
593,10,2,"[35, 36]"
449,8,2,"[34, 72]"
40,2,2,"[65, 72]"
598,2,2,"[35, 36]"
435,15,2,"[34, 62]"
572,3,2,"[2, 37]"
393,3,2,"[2, 70]"
394,3,2,"[2, 70]"
494,60,2,"[42, 43]"
27,2,2,"[2, 62]"
39,2,2,"[21, 72]"
131,8,2,"[2, 40]"
129,5,2,"[2, 55]"
123,2,2,"[20, 21]"
595,4,2,"[35, 36]"
451,14,1,[70]
636,3,1,[27]
426,18,1,[50]
424,6,1,[50]
420,24,1,[52]
438,5,1,[60]
637,5,1,[27]
523,5,1,[60]
634,2,1,[27]
625,5,1,[27]
554,20,1,[42]
555,15,1,[42]
632,14,1,[27]
630,1,1,[27]
629,7,1,[27]
626,1,1,[27]
622,2,1,[27]
502,14,1,[27]
621,3,1,[27]
618,9,1,[27]
616,2,1,[27]
615,1,1,[27]
614,2,1,[27]
412,10,1,[42]
