rst,empty,[8bits]Rxy_rst,[4bits]Cx_rst,[3bits]flit_id,[4bits]dst_addr,[4bits]cur_addr_rst Nport,Eport,Wport,Sport,Lport
1000111100111100100000000 xxxxx
0000111100111100100000000 00000
1100111100111100100001100 00001
0100111100111101000001100 00000
1111000011111100100001010 00000
0111000011111100100001010 00000
1011000011111100100001110 00000
0111000011111101000001110 00000
0011000011111100100011110 00000
1011000011111100100010011 10000
1111000011111100100010101 00000
1100111100111100100011100 00000
0000111100111100110101100 00000
1100111100111100110100110 01000
0100111100111101010100110 00000
0000111100111101010100110 00000
0000111100111101010100110 00000
1000111100111101010100011 00000
1100111100111101010100010 00000
1011000011111101010101011 00000
1111000011111100110101010 00000
0011000011111101010101010 00000
1000111100111101010100111 00000
1111000011111101010100010 00000
1011000011111100110101010 00000
1011000011111101010101111 00000
0011000011111101010101111 00000
1100111100111101010101100 00000
0000111100111100101011100 00000
0000111100111101001011100 01000
0000111100111100101111100 01000
1011000011111100101111001 01000
0111000011111100101111001 00000
1000111100111101001110000 00000
1111000011111100101110011 00000
1100111100111101001111011 00000
1000111100111100101110101 00000
0000111100111100110000101 00000
1011000011111101010001010 00100
1000111100111101010000101 00000
0100111100111100110000101 00000
1000111100111101010000000 00000
0100111100111101010000000 00000
1000111100111101010000011 00000
0100111100111101010000011 00000
0100111100111100110000011 00000
1100111100111100110000110 00000
1011000011111101010001110 00000
1011000011111101010000011 00000
0111000011111100110000011 00000
1100111100111100110001011 00000
0000111100111101010001011 00000
0100111100111101010001011 00000
0100111100111100110001011 00000
0100111100111100110001011 00000
0000111100111101010001011 00000
1000111100111101010001010 00000
1011000011111100110001111 00000
0111000011111101010001111 00000
0111000011111101010001111 00000
1000111100111101010000100 00000
0000111100111101010000100 00000
1011000011111100110001110 00000
0111000011111101010001110 00000
0011000011111101010001110 00000
1011000011111101010000011 00000
0111000011111101010000011 00000
0011000011111100100100011 00000
0011000011111101000100011 00100
0011000011111101000100011 00100
1100111100111100100101101 00100
1000111100111100100100111 00000
0100111100111101000100111 00000
1000111100111101000101000 00000
0100111100111100100101000 00000
0100111100111101000101000 00000
0000111100111100111111000 00000
1100111100111101011110101 01000
0000111100111100101010101 00000
1011000011111101001010100 00001
0111000011111101001010100 00000
1100111100111100101011001 00000
1011000011111101001011101 00000
0011000011111100101011101 00000
1000111100111100101010010 10000
0100111100111100101010010 00000
1000111100111101001010100 00000
1011000011111101001011100 00000
0011000011111101001011100 00000
0111000011111101001011100 00000
0111000011111101001011100 00000
1000111100111101001011100 00000
1100111100111101001011101 00000
1011000011111101001010111 00000
1011000011111100101011101 00000
0011000011111100111101101 00000
1011000011111100111101100 01000
1011000011111101011101111 00000
1100111100111100111100101 00000
1000111100111101011101111 00000
1100111100111100111100101 00000
1100111100111100111100001 00000
0000111100111100101110001 00000
0100111100111101001110001 01000
1100111100111100101111011 00000
0100111100111101001111011 00000
1011000011111100101111001 00000
0011000011111101001111001 00000
1100111100111101001111110 00000
0100111100111100101111110 00000
0100111100111100101111110 00000
0000111100111101001111110 00000
1011000011111100101110111 00000
0111000011111101001110111 00000
1111000011111100101111110 00000
0011000011111100110101110 00000
1000111100111100110101101 10000
0100111100111100110101101 00000
0100111100111101010101101 00000
1100111100111101010100001 00000
1000111100111101010100110 00000
0100111100111100110100110 00000
0100111100111100110100110 00000
1100111100111100110101111 00000
1111000011111101010100101 00000
1111000011111100110101001 00000
0011000011111100110111001 00000
1011000011111101010110000 01000
0011000011111101010110000 00000
1000111100111101010110110 00000
0100111100111100110110110 00000
0000111100111100101000110 00000
1111000011111100101000011 00100
0111000011111101001000011 00000
0111000011111100101000011 00000
1000111100111100101000010 00000
0100111100111101001000010 00000
0100111100111100101000010 00000
0000111100111100101000010 00000
1111000011111101001000000 00100
0011000011111100111110000 00000
1111000011111101011111001 00010
1100111100111100111110001 00000
0000111100111100111110001 00000
1011000011111101011111100 01000
1111000011111100111110011 00000
0011000011111101011110011 00000
0011000011111100110100011 00000
0111000011111100110100011 00010
0111000011111101010100011 00000
0011000011111100100010011 00000
1100111100111100100011000 00100
1000111100111100100011110 00000
1000111100111101000010110 00000
