rst,empty,[8bits]DUT_LBDR.Rxy,[4bits]DUT_LBDR.Cx,[3bits]flit_id,[4bits]dst_addr,[4bits]DUT_LBDR.cur_addr,DUT_LBDR.Rne,DUT_LBDR.Rnw,DUT_LBDR.Ren,DUT_LBDR.Res,DUT_LBDR.Rwn,DUT_LBDR.Rws,DUT_LBDR.Rse,DUT_LBDR.Rsw,DUT_LBDR.Cn,DUT_LBDR.Ce,DUT_LBDR.Cw,DUT_LBDR.Cs,DUT_LBDR.N1,DUT_LBDR.E1,DUT_LBDR.W1,DUT_LBDR.S1,[2bits]DUT_LBDR.x_cur,[2bits]DUT_LBDR.y_cur,[2bits]DUT_LBDR.x_dst,[2bits]DUT_LBDR.y_dst Nport,Eport,Wport,Sport,Lport
1111000011111101010000100110000111111000100010010 00000
0011000011111101010001110110000111111101010110010 00000
0011000011111101010001110110000111111101010110010 00000
1111000011111101010001110110000111111101010110010 00000
1000111100111100110000010001111001111001110000010 00000
0100111100111101010000101001111001111001101010010 00000
1000111100111101010000101001111001111001101010010 00000
1100111100111101010001010001111001111001010100010 00000
0100111100111101010001011001111001111001011100010 00000
0000111100111101010001011001111001111001011100010 00000
1100111100111101010001011001111001111001011100010 00000
1011000011111100110000100110000111111000100010010 00000
1111000011111100110001010110000111111001010100010 00000
0000111100111100101110010001111001111010110001101 00000
0100111100111101001110010001111001111010110001101 01000
1000111100111101001110010001111001111010110001101 00000
1000111100111101001111000001111001111110000101101 00000
0000111100111101001111100001111001111110000111101 00000
0100111100111101001111100001111001111110000111101 00000
0000111100111100111011100001111001111010000110111 00000
1000111100111100111011100001111001111010000110111 01000
0011000011111100111100101110000111111010101011011 00000
1111000011111100111100101110000111111010101011011 00010
0011000011111100110110001110000111111010101001110 00000
0011000011111100111010001110000111111000101000111 00010
1011000011111101011010001110000111111000101000111 00010
1100111100111101011011000001111001111010100100111 00000
1000111100111101011011110001111001111001010110111 00000
0011000011111101011011011110000111111001111100111 00000
0011000011111100100101011110000111111101011101000 00000
1011000011111101000101011110000111111101011101000 10000
