rst,empty,[8bits]Rxy_rst,[4bits]Cx_rst,[3bits]flit_id,[4bits]dst_addr,[4bits]cur_addr_rst Nport,Eport,Wport,Sport,Lport
1111000011111100111011001 00000
0011000011111100101011001 00000
0011000011111100110001001 10000
0111000011111101010001001 00100
1111000011111101010000011 00000
1000111100111101010001001 00000
1111000011111101010000000 00000
0111000011111100110000000 00000
0011000011111100110010000 00000
0111000011111100110010000 00010
0011000011111101010010000 00000
0111000011111100110010000 00000
0111000011111101010010000 00000
1111000011111100110010011 00000
0011000011111101010010011 00000
0111000011111101010010011 00000
1011000011111100110011100 00000
0011000011111101010011100 00000
1111000011111100110011111 00000
0111000011111100110011111 00000
0011000011111100100011111 00000
0111000011111100100011111 10000
0111000011111100100011111 00000
1111000011111101000010001 00000
0111000011111101000010001 00000
0111000011111100100010001 00000
1011000011111100100010101 00000
1000111100111101000010001 00000
1111000011111100100011110 00000
0111000011111101000011110 00000
0011000011111100100001110 00000
1100111100111101000001011 10000
1100111100111101000000011 00000
1011000011111101000000111 00000
1011000011111101000000100 00000
0011000011111101000000100 00000
1000111100111101000001101 00000
0000111100111100101001101 00000
1111000011111100101000111 00100
1011000011111100101001001 00000
0111000011111101001001001 00000
1000111100111100101000100 00000
1111000011111100101000100 00000
1000111100111101001001011 00000
0100111100111101001001011 00000
1111000011111101001000101 00000
0011000011111100101010101 00000
0111000011111100101010101 00001
0111000011111100101010101 00000
0111000011111100101010101 00000
1100111100111101001010111 00000
1000111100111101001010001 00000
1100111100111101001011111 00000
1000111100111100101011010 00000
1100111100111101001010101 00000
1100111100111100101010011 00000
1000111100111101001011011 00000
0000111100111101001011011 00000
0000111100111100101011011 00000
0000111100111101001011011 00100
0000111100111100110011011 00100
0100111100111100110011011 00100
0100111100111100110011011 00000
1000111100111100110011100 00000
0000111100111100111011100 00000
1000111100111100111011110 01000
1000111100111101011011101 00000
0000111100111100100111101 00000
1011000011111100100110010 01000
0111000011111101000110010 00000
1000111100111101000111010 00000
0100111100111100100111010 00000
1011000011111101000110101 00000
0111000011111100100110101 00000
1000111100111101000110000 00000
1111000011111100100111101 00000
1011000011111101000111110 00000
0011000011111100111101110 00000
1000111100111100111101011 00001
0000111100111100100001011 00000
0000111100111100111011011 00100
0000111100111100101101011 00100
0000111100111101001101011 00100
0000111100111100111101011 00100
0000111100111100101001011 00100
1011000011111101001000000 00100
1011000011111100101000001 00000
0011000011111101001000001 00000
0111000011111101001000001 00000
1000111100111101001000010 00000
1100111100111100101001001 00000
1100111100111101001000111 00000
1011000011111101001000011 00000
0111000011111100101000011 00000
0111000011111101001000011 00000
1000111100111101001000101 00000
0100111100111101001000101 00000
0100111100111101001000101 00000
0000111100111101001000101 00000
0100111100111100101000101 00000
0000111100111100110010101 00000
0100111100111100110010101 00010
0000111100111100111100101 00000
0100111100111101011100101 01000
0100111100111100111100101 00000
1000111100111101011100010 00000
0000111100111101011100010 00000
0100111100111101011100010 00000
1011000011111100111100010 00000
1111000011111100111100000 00000
0111000011111100111100000 00000
1000111100111100111101101 00000
1011000011111101011100111 00000
1100111100111100111101010 00000
1000111100111100111101010 00000
1100111100111100111100111 00000
0100111100111101011100111 00000
1111000011111100111101011 00000
1000111100111100111100100 00000
0100111100111101011100100 00000
1011000011111101011100011 00000
0111000011111101011100011 00000
0111000011111100111100011 00000
0111000011111101011100011 00000
0111000011111100111100011 00000
1100111100111100111101110 00000
0000111100111100110001110 00000
1111000011111100110001100 00100
1100111100111100110001111 00000
0100111100111100110001111 00000
0000111100111100111011111 00000
0100111100111101011011111 00100
0000111100111100101001111 00000
1100111100111101001001101 00100
